"ID","log2sum","n","type"
"ITIH4",0.319075606031202,1,"ns"
"KDM6B",-0.847536686362857,1,"down"
"KHDRBS1",-0.928981323035743,1,"down"
"KIF5B",0.0301363632447432,1,"ns"
"LMAN1",2.21512437554415,1,"up"
"LMAN2",0.291524388916016,1,"ns"
"LMCD1",-0.0687302226362706,1,"ns"
"LMNA",1.65279767776197,8,"up"
"LONP1",0.0482383216629548,1,"ns"
"LPCAT1",0.488486933943006,1,"ns"
"LRP1",0.141795171070508,3,"ns"
"LTA4H",0.42212665918776,1,"ns"
"LUM",-0.0908208191462679,1,"ns"
"MAGEB10",-2.32155027697206,1,"down"
"MAMDC2",0.231051042634813,1,"ns"
"MB",-0.0620362703570853,1,"ns"
"MESD",1.24287880601619,1,"up"
"MFAP2",0.168272764495714,1,"ns"
"MPC1",0.341730246788232,1,"ns"
"MRC2",-0.447471948407954,1,"ns"
"MVP",0.395218217866435,1,"ns"
"MYBPC1",-0.0863809927392645,1,"ns"
"MYH11",0.261671208850944,3,"ns"
"MYH2",-0.449758857440614,2,"ns"
"MYH7",1.87871783808786,6,"up"
"MYH9",0.42807295134556,2,"ns"
"MYL2",1.31296483695139,1,"up"
"MYOM1",0.362320494335275,1,"ns"
"NDUFS7",-0.342720418543305,1,"ns"
"NIBAN2",0.271111949840367,1,"ns"
"NONO",-0.524920554275697,1,"down"
"NPM1",1.64108649830017,1,"up"
"NPTN",0.215895433469642,1,"ns"
"OBSCN",0.425915855136206,1,"ns"
"OGDH",-0.0280921361155098,1,"ns"
"OTULINL",0.16749207447929,1,"ns"
"PABPC1",0.500557120256665,1,"up"
"PADI2",0.925077973068464,4,"up"
"PAICS",0.434236506927167,1,"ns"
"PANX3",0.00576009281275313,1,"ns"
"PBK",0.135918656408267,1,"ns"
"PCK2",-0.0654706841683092,1,"ns"
"PDCD6IP",-0.508099493032262,1,"down"
"PDIA4",-0.3493317024914,1,"ns"
"PDIA6",-0.168486234076156,1,"ns"
