epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn
22,0,0,84.5752,83.5749,78.4846,89.3711,46472.04937744,89.2679,62.5801,77.5510,52.4540,2655.55031967,121318.0000,47608.0000,5662.0000,54997.0000,13051.0000,7622.0000,684.0000,620.0000,6120.0000,198.0000
23,0,0,84.7327,83.6563,78.1467,90.0017,46348.75280762,89.8058,63.7085,77.3243,54.1700,2522.55557442,121318.0000,47403.0000,5266.0000,55393.0000,13256.0000,7622.0000,682.0000,577.0000,6163.0000,200.0000
24,0,0,84.7327,83.7201,78.5127,89.6673,45754.76693726,89.5172,63.1967,77.7778,53.2196,2649.31327248,121318.0000,47625.0000,5488.0000,55171.0000,13034.0000,7622.0000,686.0000,603.0000,6137.0000,196.0000
25,0,0,84.7558,83.8336,79.0517,89.2313,45536.11344910,89.1367,62.4319,78.0045,52.0424,2771.33955765,121318.0000,47952.0000,5787.0000,54872.0000,12707.0000,7622.0000,688.0000,634.0000,6106.0000,194.0000
26,0,0,84.8374,83.7837,78.3396,90.0409,45097.95976257,89.8583,63.9291,77.6644,54.3220,2642.97724533,121318.0000,47520.0000,5256.0000,55403.0000,13139.0000,7622.0000,685.0000,576.0000,6164.0000,197.0000
27,0,0,84.9107,83.8657,78.4335,90.1062,45032.76249695,89.8714,63.9252,77.5510,54.3720,2596.03773499,121318.0000,47577.0000,5224.0000,55435.0000,13082.0000,7622.0000,684.0000,574.0000,6166.0000,198.0000
28,0,0,85.0377,83.9607,78.3231,90.4728,44733.19853210,90.0945,64.4036,77.4376,55.1251,2573.61223602,121318.0000,47510.0000,5003.0000,55656.0000,13149.0000,7622.0000,683.0000,556.0000,6184.0000,199.0000
29,0,0,84.8967,83.9440,78.9627,89.5960,44622.41979980,89.4647,63.0805,77.7778,53.0549,2751.50306511,121318.0000,47898.0000,5562.0000,55097.0000,12761.0000,7622.0000,686.0000,607.0000,6133.0000,196.0000
30,0,0,85.1399,84.0750,78.4533,90.5646,44298.15866089,90.0682,64.3093,77.3243,55.0444,2590.90314674,121318.0000,47589.0000,4958.0000,55701.0000,13070.0000,7622.0000,682.0000,557.0000,6183.0000,200.0000
31,0,0,85.1432,84.0597,78.3462,90.6722,44123.59536743,90.1994,64.5804,77.2109,55.5012,2558.43546677,121318.0000,47524.0000,4889.0000,55770.0000,13135.0000,7622.0000,681.0000,546.0000,6194.0000,201.0000
