"Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","method","set","auc"
0.854838709677419,0.709677419354839,0.742243137270859,0.931411387376539,0.5,5.25361635857029e-09,0.504985075093846,0.903225806451613,0.806451612903226,0.823529411764706,0.892857142857143,0.823529411764706,0.903225806451613,0.861538461538462,0.5,0.451612903225806,0.548387096774194,0.854838709677419,"1__1Logistic Regression","training",0.854838709677419
0.863636363636364,0.702702702702703,0.650877902742592,0.970944148871253,0.727272727272727,0.111442954044321,0.248213078989924,0.8125,1,1,0.666666666666667,1,0.8125,0.896551724137931,0.727272727272727,0.590909090909091,0.590909090909091,0.90625,"1__1Logistic Regression","testing",0.90625
0.854838709677419,0.709677419354839,0.742243137270859,0.931411387376539,0.5,5.25361635857029e-09,0.504985075093846,0.903225806451613,0.806451612903226,0.823529411764706,0.892857142857143,0.823529411764706,0.903225806451613,0.861538461538462,0.5,0.451612903225806,0.548387096774194,0.854838709677419,"1__2ridge","training",0.854838709677419
0.772727272727273,0.455445544554455,0.546296376337878,0.921793739648108,0.727272727272727,0.419582830413689,1,0.8125,0.666666666666667,0.866666666666667,0.571428571428572,0.866666666666667,0.8125,0.838709677419355,0.727272727272727,0.590909090909091,0.681818181818182,0.739583333333333,"1__2ridge","testing",0.739583333333333
0.838709677419355,0.67741935483871,0.723320154165078,0.919846935083223,0.5,2.85680686654654e-08,0.751829634045849,0.870967741935484,0.806451612903226,0.818181818181818,0.862068965517241,0.818181818181818,0.870967741935484,0.84375,0.5,0.435483870967742,0.532258064516129,0.838709677419355,"1__3lasso","training",0.838709677419355
0.636363636363636,0.169811320754717,0.406576668825647,0.828020562353668,0.727272727272727,0.882226186183425,0.723673609831763,0.6875,0.5,0.785714285714286,0.375,0.785714285714286,0.6875,0.733333333333333,0.727272727272727,0.5,0.636363636363636,0.59375,"1__3lasso","testing",0.59375
0.758064516129032,0.516129032258065,0.632550292814055,0.857813964151982,0.5,2.88918600246014e-05,0.00982327450751926,0.580645161290323,0.935483870967742,0.9,0.69047619047619,0.9,0.580645161290323,0.705882352941176,0.5,0.290322580645161,0.32258064516129,0.758064516129032,"1__4KNN","training",0.758064516129032
0.5,0.141843971631206,0.282210520938093,0.717789479061907,0.727272727272727,0.993769315110507,0.015861332739773,0.375,0.833333333333333,0.857142857142857,0.333333333333333,0.857142857142857,0.375,0.521739130434782,0.727272727272727,0.272727272727273,0.318181818181818,0.604166666666667,"1__4KNN","testing",0.604166666666667
0.903225806451613,0.806451612903226,0.801169623701541,0.963650418307025,0.5,1.48629242593956e-11,0.220671361919847,0.967741935483871,0.838709677419355,0.857142857142857,0.962962962962963,0.857142857142857,0.967741935483871,0.909090909090909,0.5,0.483870967741935,0.564516129032258,0.903225806451613,"1__5SVM","training",0.903225806451613
0.681818181818182,0.0493827160493826,0.45127557242623,0.861353478446202,0.727272727272727,0.76887436580427,0.449691797968891,0.875,0.166666666666667,0.736842105263158,0.333333333333333,0.736842105263158,0.875,0.8,0.727272727272727,0.636363636363636,0.863636363636364,0.520833333333333,"1__5SVM","testing",0.520833333333333
0.838709677419355,0.67741935483871,0.723320154165078,0.919846935083223,0.5,2.85680686654654e-08,1,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.5,0.419354838709677,0.5,0.838709677419355,"1__6Decision Tree","training",0.838709677419355
0.636363636363636,0.0833333333333333,0.406576668825647,0.828020562353668,0.727272727272727,0.882226186183425,1,0.75,0.333333333333333,0.75,0.333333333333333,0.75,0.75,0.75,0.727272727272727,0.545454545454545,0.727272727272727,0.541666666666667,"1__6Decision Tree","testing",0.541666666666667
1,1,0.942237365570709,1,0.5,2.168404344971e-19,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"1__7Random Forest","training",1
0.727272727272727,0.232558139534884,0.497778798733651,0.892710751629603,0.727272727272727,0.607662887931694,0.683091398309609,0.875,0.333333333333333,0.777777777777778,0.5,0.777777777777778,0.875,0.823529411764706,0.727272727272727,0.636363636363636,0.818181818181818,0.604166666666667,"1__7Random Forest","testing",0.604166666666667
1,1,0.942237365570709,1,0.5,2.168404344971e-19,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"1__8XGBoost","training",1
0.681818181818182,0.0493827160493826,0.45127557242623,0.861353478446202,0.727272727272727,0.76887436580427,0.449691797968891,0.875,0.166666666666667,0.736842105263158,0.333333333333333,0.736842105263158,0.875,0.8,0.727272727272727,0.636363636363636,0.863636363636364,0.520833333333333,"1__8XGBoost","testing",0.520833333333333
0.919354838709677,0.838709677419355,0.821747406867766,0.973295383204164,0.5,1.53276284893533e-12,1,0.935483870967742,0.903225806451613,0.90625,0.933333333333333,0.90625,0.935483870967742,0.920634920634921,0.5,0.467741935483871,0.516129032258065,0.919354838709677,"1__9LightGBM","training",0.919354838709677
0.636363636363636,0.0833333333333333,0.406576668825647,0.828020562353668,0.727272727272727,0.882226186183425,1,0.75,0.333333333333333,0.75,0.333333333333333,0.75,0.75,0.75,0.727272727272727,0.545454545454545,0.727272727272727,0.541666666666667,"1__9LightGBM","testing",0.541666666666667
1,1,0.942237365570709,1,0.5,2.168404344971e-19,NA,1,1,1,1,1,1,1,0.5,0.5,0.5,1,"2__1Logistic Regression","training",1
