epoch,dataset,train_num,train_acc,train_loss,train_recall,train_precision,train_tp,train_tn,train_fp,train_fn,test_num,test_acc,test_loss,test_recall,test_precision,test_tp,test_tn,test_fp,test_fn
30,7,121318.0000,0.9101,0.2297,96.5693,86.9071,58578.0000,51834.0000,8825.0000,2081.0000,7622.0000,0.8147,0.5044,67.9138,34.6644,599.0000,5611.0000,1129.0000,283.0000
31,7,121318.0000,0.9128,0.2243,96.6254,87.2969,58612.0000,52130.0000,8529.0000,2047.0000,7622.0000,0.7986,0.5357,72.9025,33.1614,643.0000,5444.0000,1296.0000,239.0000
32,7,121318.0000,0.9150,0.2190,96.7260,87.5808,58673.0000,52339.0000,8320.0000,1986.0000,7622.0000,0.8048,0.5406,70.9751,33.6921,626.0000,5508.0000,1232.0000,256.0000
33,7,121318.0000,0.9172,0.2145,96.6567,87.9751,58631.0000,52645.0000,8014.0000,2028.0000,7622.0000,0.8115,0.5189,68.0272,34.1880,600.0000,5585.0000,1155.0000,282.0000
34,7,121318.0000,0.9195,0.2077,96.7672,88.2597,58698.0000,52851.0000,7808.0000,1961.0000,7622.0000,0.8151,0.5397,67.3469,34.6356,594.0000,5619.0000,1121.0000,288.0000
35,7,121318.0000,0.9223,0.2024,96.9057,88.6152,58782.0000,53107.0000,7552.0000,1877.0000,7622.0000,0.8220,0.5231,65.1927,35.3846,575.0000,5690.0000,1050.0000,307.0000
36,7,121318.0000,0.9254,0.1965,96.9634,89.0748,58817.0000,53445.0000,7214.0000,1842.0000,7622.0000,0.8227,0.5608,65.8730,35.6223,581.0000,5690.0000,1050.0000,301.0000
37,7,121318.0000,0.9274,0.1924,97.0375,89.3609,58862.0000,53651.0000,7008.0000,1797.0000,7622.0000,0.8293,0.5638,63.7188,36.4226,562.0000,5759.0000,981.0000,320.0000
38,7,121318.0000,0.9296,0.1880,97.0342,89.7215,58860.0000,53916.0000,6743.0000,1799.0000,7622.0000,0.8335,0.5566,63.0385,37.0914,556.0000,5797.0000,943.0000,326.0000
39,7,121318.0000,0.9311,0.1831,97.0606,89.9584,58876.0000,54087.0000,6572.0000,1783.0000,7622.0000,0.8220,0.5307,65.0794,35.3666,574.0000,5691.0000,1049.0000,308.0000
40,7,121318.0000,0.9325,0.1799,97.1167,90.1509,58910.0000,54223.0000,6436.0000,1749.0000,7622.0000,0.8250,0.5651,63.3787,35.6051,559.0000,5729.0000,1011.0000,323.0000
41,7,121318.0000,0.9352,0.1743,97.2271,90.5152,58977.0000,54479.0000,6180.0000,1682.0000,7622.0000,0.8175,0.5708,65.5329,34.7147,578.0000,5653.0000,1087.0000,304.0000
42,7,121318.0000,0.9373,0.1682,97.3227,90.7979,59035.0000,54676.0000,5983.0000,1624.0000,7622.0000,0.8268,0.5774,61.3379,35.5921,541.0000,5761.0000,979.0000,341.0000
43,7,121318.0000,0.9386,0.1650,97.3013,91.0426,59022.0000,54852.0000,5807.0000,1637.0000,7622.0000,0.8246,0.6006,63.0385,35.4818,556.0000,5729.0000,1011.0000,326.0000
44,7,121318.0000,0.9398,0.1609,97.2238,91.2982,58975.0000,55038.0000,5621.0000,1684.0000,7622.0000,0.8304,0.5746,61.5646,36.2725,543.0000,5786.0000,954.0000,339.0000
45,7,121318.0000,0.9417,0.1579,97.3656,91.5121,59061.0000,55181.0000,5478.0000,1598.0000,7622.0000,0.8306,0.6014,61.3379,36.2844,541.0000,5790.0000,950.0000,341.0000
46,7,121318.0000,0.9443,0.1519,97.4629,91.8826,59120.0000,55436.0000,5223.0000,1539.0000,7622.0000,0.8292,0.5868,61.3379,36.0186,541.0000,5779.0000,961.0000,341.0000
47,7,121318.0000,0.9456,0.1487,97.5915,92.0052,59198.0000,55515.0000,5144.0000,1461.0000,7622.0000,0.8321,0.5888,58.6168,36.1034,517.0000,5825.0000,915.0000,365.0000
48,7,121318.0000,0.9452,0.1486,97.3771,92.1210,59068.0000,55607.0000,5052.0000,1591.0000,7622.0000,0.8321,0.5686,60.6576,36.4441,535.0000,5807.0000,933.0000,347.0000
49,7,121318.0000,0.9476,0.1434,97.5568,92.3890,59177.0000,55784.0000,4875.0000,1482.0000,7622.0000,0.8331,0.6068,57.2562,36.0714,505.0000,5845.0000,895.0000,377.0000
50,7,121318.0000,0.9495,0.1373,97.5766,92.6986,59189.0000,55997.0000,4662.0000,1470.0000,7622.0000,0.8300,0.6271,59.5238,35.8607,525.0000,5801.0000,939.0000,357.0000
51,7,121318.0000,0.9503,0.1352,97.6112,92.8275,59210.0000,56084.0000,4575.0000,1449.0000,7622.0000,0.8340,0.6306,54.3084,35.7196,479.0000,5878.0000,862.0000,403.0000
52,7,121318.0000,0.9514,0.1320,97.6129,93.0040,59211.0000,56205.0000,4454.0000,1448.0000,7622.0000,0.8338,0.6015,56.1224,36.0000,495.0000,5860.0000,880.0000,387.0000
53,7,121318.0000,0.9523,0.1296,97.5849,93.1939,59194.0000,56336.0000,4323.0000,1465.0000,7622.0000,0.8339,0.6233,55.6689,35.9444,491.0000,5865.0000,875.0000,391.0000
54,7,121318.0000,0.9536,0.1267,97.6920,93.3360,59259.0000,56428.0000,4231.0000,1400.0000,7622.0000,0.8347,0.6540,56.1224,36.1842,495.0000,5867.0000,873.0000,387.0000
55,7,121318.0000,0.9551,0.1244,97.7662,93.5468,59304.0000,56568.0000,4091.0000,1355.0000,7622.0000,0.8412,0.6414,54.0816,37.2075,477.0000,5935.0000,805.0000,405.0000
56,7,121318.0000,0.9571,0.1200,97.7992,93.8686,59324.0000,56784.0000,3875.0000,1335.0000,7622.0000,0.8321,0.6660,58.9569,36.1613,520.0000,5822.0000,918.0000,362.0000
57,7,121318.0000,0.9580,0.1166,97.8387,93.9988,59348.0000,56870.0000,3789.0000,1311.0000,7622.0000,0.8433,0.6494,49.6599,36.8687,438.0000,5990.0000,750.0000,444.0000
58,7,121318.0000,0.9584,0.1149,97.8190,94.1020,59336.0000,56940.0000,3719.0000,1323.0000,7622.0000,0.8355,0.6872,50.1134,35.1911,442.0000,5926.0000,814.0000,440.0000
59,7,121318.0000,0.9601,0.1114,97.8816,94.3553,59374.0000,57107.0000,3552.0000,1285.0000,7622.0000,0.8416,0.6600,50.2268,36.5813,443.0000,5972.0000,768.0000,439.0000
